model,numLoadInsts,numStoreInsts,numInsts,numBranches,intAluAccesses,numOps,ipc
1.0,15520853.0,1834050.0,108479715.0,12254978.0,112650271.0,65173933.0,0.188601
1.0,15801650.0,1825123.0,112102892.0,12857900.0,116135633.0,68561044.0,0.196079
1.0,16092080.0,1733716.0,116325224.0,13630801.0,120458985.0,73168337.0,0.212188
1.0,16412598.0,1729908.0,120298501.0,14293671.0,124439445.0,77137133.0,0.223965
1.0,20537879.0,3411661.0,51178393.0,1158181.0,12379738.0,45853071.0,0.130566
1.0,20206432.0,3410121.0,50949581.0,1175798.0,12315144.0,45989937.0,0.131044
1.0,20038010.0,3411731.0,50754436.0,1167605.0,12239994.0,45965506.0,0.130971
1.0,20873870.0,3422059.0,51639598.0,1160943.0,12498313.0,46055695.0,0.131225
1.0,20399451.0,3402880.0,50970861.0,1150002.0,12238964.0,45772421.0,0.130417
1.0,20022885.0,3411935.0,50674877.0,1153075.0,12170862.0,45891712.0,0.130757
1.0,20868622.0,3409539.0,51500194.0,1152249.0,12438493.0,45860235.0,0.130668
1.0,20484821.0,3403589.0,51069679.0,1151386.0,12294949.0,45788117.0,0.130462
1.0,12917630.0,791943.0,46056779.0,4467981.0,45566602.0,42542976.0,0.085361
1.0,12871556.0,686280.0,46066460.0,4531207.0,45697962.0,42769507.0,0.086145
1.0,13018712.0,755306.0,47058181.0,4673312.0,46610386.0,43628203.0,0.087799
1.0,12911911.0,730297.0,46037061.0,4491172.0,45625256.0,42670274.0,0.086004
1.0,13053698.0,760290.0,45982487.0,4416696.0,45540589.0,42518858.0,0.084949
1.0,12938950.0,762649.0,44237537.0,4116830.0,43784077.0,40739491.0,0.081234
1.0,12880206.0,727310.0,46016122.0,4506822.0,45596031.0,42644356.0,0.086188
1.0,12895615.0,667086.0,43415313.0,3985203.0,43082887.0,40091409.0,0.079971
1.0,10622509.0,520748.0,60900153.0,7293663.0,61664490.0,46336538.0,0.215737
1.0,11019118.0,472197.0,65924945.0,8184235.0,66685856.0,51436843.0,0.237732
1.0,10998373.0,471138.0,65693776.0,8145364.0,66452097.0,51248092.0,0.236939
1.0,10789873.0,470786.0,63175746.0,7720761.0,63934877.0,48705586.0,0.226163
1.0,10884423.0,489304.0,64111390.0,7854174.0,64874856.0,49570925.0,0.229774
1.0,10746912.0,471301.0,62396287.0,7564657.0,63159643.0,47827976.0,0.22261
1.0,10959251.0,471855.0,65244005.0,8059813.0,66004656.0,50784198.0,0.235131
1.0,10969404.0,472105.0,65562435.0,8126747.0,66321400.0,51138780.0,0.237475
