model,numLoadInsts,numStoreInsts,numInsts,numBranches,intAluAccesses,numOps,ipc,hit,L1Icache,L1Dcache,L2cache,pipelinewidth
2,52300211,5401026,229280967,2166742,55779735,229257038,0.687469,41759424,32768,524288,1048576,8
2,51466234,5942991,226701370,2232853,56066722,226678301,0.504221,41633518,32768,524288,1048576,8
2,51359937,5708819,225856278,2191016,55527749,225832611,0.542578,41356352,32768,524288,1048576,8
2,51459672,5620288,226132808,2183563,55473048,226108351,0.569746,41349088,32768,524288,1048576,8
2,51407242,5643127,225925652,2178943,55432223,225901182,0.559594,41330679,32768,524288,1048576,8
2,51143942,5981642,223103709,1643190,52547195,223081533,0.491463,41355135,32768,524288,1048576,8
2,51322313,5697781,225693360,2193218,55502217,225668890,0.544045,41319826,32768,524288,1048576,8
2,15792741,8636311,63477508,2751999,25772950,59629504,0.146722,13832723,32768,524288,1048576,8
2,15874786,8568368,68758392,3775098,32654952,65235983,0.160643,14254472,32768,524288,1048576,8
2,15256193,8638966,62459109,2665632,25109235,59119575,0.145527,13859072,32768,524288,1048576,8
2,16409323,8899473,69105212,3315032,30038821,65449489,0.161399,14858340,32768,524288,1048576,8
2,16595597,8763622,71052310,3797238,33214811,67184749,0.165723,14682868,32768,524288,1048576,8
2,15109595,8582652,62186294,2717841,25344159,58898635,0.145159,13793781,32768,524288,1048576,8
2,16153141,8734929,66355304,3058727,28071374,62510740,0.15393,14280259,32768,524288,1048576,8
2,15803272,8780879,66847142,3158939,28783791,63474987,0.15765,14485875,32768,524288,1048576,8
2,2732007,2945738,14014970,380691,3471672,13867838,0.036686,3061856,32768,524288,1048576,8
2,2868467,2891029,12253126,382232,3468457,12052235,0.030133,2968522,32768,524288,1048576,8
2,2727994,2922184,14170093,394423,3505502,14006031,0.037293,3030867,32768,524288,1048576,8
2,2770571,2914298,12880566,366346,3374550,12742488,0.03277,3005130,32768,524288,1048576,8
2,2871252,2902095,11963207,348643,3289219,11773434,0.029304,2956206,32768,524288,1048576,8
2,2746379,2914267,13458834,363319,3340176,13302387,0.034917,3001700,32768,524288,1048576,8
2,2815160,2921300,12368499,354823,3326017,12222879,0.030874,3001528,32768,524288,1048576,8
2,2753427,2912231,13140297,361091,3336075,12991513,0.033773,3001785,32768,524288,1048576,8
2,20548206,142843,52144119,3765946,44855896,34347906,0.188424,3953467,32768,524288,1048576,8
2,20890394,130992,52590185,3810441,45313280,34710844,0.190254,3910049,32768,524288,1048576,8
2,20483462,142944,52511471,3838047,45257702,34669734,0.190393,4004211,32768,524288,1048576,8
2,20913367,134940,52526496,3782613,45160994,34517200,0.189305,3881257,32768,524288,1048576,8
2,20917329,133565,52387939,3758101,45017135,34417531,0.188713,3874789,32768,524288,1048576,8
2,20412465,147154,52439781,3808326,45165613,34584449,0.190015,4007260,32768,524288,1048576,8
2,20569632,141789,52390039,3789471,45065817,34508644,0.189452,3989673,32768,524288,1048576,8
2,20264408,148056,52306279,3807861,45037695,34549573,0.189887,4057475,32768,524288,1048576,8
2,2716158,2979177,14230686,410074,3738337,14165447,0.018181,3281651,32768,524288,1048576,8
2,2762471,2893348,12255665,398535,3602755,12201546,0.014867,3133360,32768,524288,1048576,8
2,2701260,2977546,14368059,417265,3709191,14317373,0.018534,3300184,32768,524288,1048576,8
2,2731842,2920968,13016044,394667,3589897,12959867,0.016225,3183072,32768,524288,1048576,8
2,2777666,2902888,12032046,376865,3501978,11974133,0.014514,3117064,32768,524288,1048576,8
2,2689130,2929826,13578976,389507,3551681,13530195,0.017287,3206906,32768,524288,1048576,8
2,2756302,2913762,12407633,371587,3477331,12345625,0.015201,3143284,32768,524288,1048576,8
2,2732579,2948169,13331369,388021,3561446,13270919,0.01678,3211021,32768,524288,1048576,8
2,6957887,177262,35989052,3546346,28163668,34865633,0.041186,4412855,32768,524288,1048576,8
2,6907145,157527,35671408,3513077,27890963,34567862,0.040906,4313307,32768,524288,1048576,8
2,6947294,157384,35874371,3532651,28055883,34776829,0.041146,4372911,32768,524288,1048576,8
2,6948260,155881,35860128,3531775,28055359,34774890,0.041137,4347579,32768,524288,1048576,8
2,6940228,151895,35788119,3525708,28016193,34733485,0.041064,4306707,32768,524288,1048576,8
2,6891173,150946,35539182,3502062,27824026,34492117,0.040774,4291542,32768,524288,1048576,8
2,6919662,159517,35756782,3520872,27947457,34640289,0.041009,4381667,32768,524288,1048576,8
2,6939682,152763,35795743,3526680,28021001,34733301,0.041062,4313538,32768,524288,1048576,8
2,12372009,505003,72757476,8593931,74630636,44929366,0.199832,10800366,32768,524288,1048576,8
2,12733922,499862,77727118,9469825,79596428,50118521,0.22214,11170854,32768,524288,1048576,8
2,12584642,498712,76085256,9218014,77952206,48584983,0.216448,11023320,32768,524288,1048576,8
2,12579614,499778,76365904,9273939,78225660,48918912,0.217893,11025923,32768,524288,1048576,8
2,12533216,518170,75718813,9169458,77581176,48314565,0.215667,10990460,32768,524288,1048576,8
2,12296020,552090,72841209,8661754,74720262,45357415,0.202876,10772349,32768,524288,1048576,8
2,12467715,498845,75235087,9116728,77091503,47947304,0.214898,10918381,32768,524288,1048576,8
2,12410299,498440,74666500,9017893,76517968,47364194,0.212,10861110,32768,524288,1048576,8
2,15996358,1739021,115178209,13441888,119305918,72017049,0.208768,13319529,32768,524288,1048576,8
